name,url,İşlemci_Modeli,price,id,brand,Kullanım_Amacı,Ekran_Boyutu,Çözünürlük,Çözünürlük_Standartı,Panel_Tipi,Ekran_Yenileme_Hızı,Ekran_Kartı_Tipi,Ekran_Kartı,Ekran_Kartı_Hafızası,Maksimum_İşlemci_Hızı,Ram,SSD,İşlemci_Çekirdek_Sayısı,Temel_İşlemci_Hızı,Parmak_İzi_Okuyucu,İşletim_Sistemi
"15-fc0000nt Amd Ryzen 5 7520u 8 512 Ssd Freedos 15.6"" Fhd Taşınabilir Bilgisayar 7P6B0EA",https://www.trendyol.com/hp/15-fc0000nt-amd-ryzen-5-7520u-8--512--ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-7p6b0ea-p-761481836?boutiqueId=61&merchantId=467452,7520U,10999,761481836,HP,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,60,Dahili,Dahili Ekran Kartı,1.0,4.3,8,512,4,2,,Free Dos (İşletim Sistemi Yok)
"IdeaPad 1 Ryzen 5-5500U 8 512 SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar 82R400QDTX",https://www.trendyol.com/lenovo/ideapad-1-ryzen-5-5500u-8-512-ssd-15-6-fhd-freedos-dizustu-bilgisayar-82r400qdtx-p-860978209?boutiqueId=681310&merchantId=968,5500U,11849,860978209,LENOVO,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),TN,,Dahili,AMD Radeon Graphics,1.0,4,8,512,6,2.1,Yok,Free Dos (İşletim Sistemi Yok)
"Ideapad Slim3 Intel Celeron-N100 4 RAM 128 SSD Intel UHD Graphics 15.6"" FHD Win11 Gri Laptop",https://www.trendyol.com/lenovo/ideapad-slim3-intel-celeron-n100-4-ram-128-ssd-intel-uhd-graphics-15-6-fhd-win11-gri-laptop-p-880174765?boutiqueId=61&merchantId=1129638,,8039,880174765,LENOVO,Ev - Okul,15.6 inç,1920 x 1080,Full HD (FHD),,,Dahili,Intel UHD Graphics,1.0,,4,128,,3,Yok,
"Aspire Lite AL15-71 Intel Core i7-12650H 16 1 SSD 15.6"" FHD Windows 11 Home Dizüstü Bilgisayar",https://www.trendyol.com/acer/aspire-lite-al15-71-intel-core-i7-12650h-16-1-ssd-15-6-fhd-windows-11-home-dizustu-bilgisayar-p-921524975?boutiqueId=681310&merchantId=968,12650H,27959,921524975,ACER,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,60,Dahili,Intel HD Graphics,1.0,,16,1,8,,Yok,Windows
"Vivobook 15 Intel® Core™ I5-1335u 16 Ram 512 Ssd W11 Pro 15.6"" Fhd",https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1335u-16-ram-512-ssd-w11-pro-15-6-fhd-p-856346347?boutiqueId=61&merchantId=1069329,1235U,15899,856346347,ASUS,Ev - Okul,15.6 inç,1920 x 1080,Full HD (FHD),TN,60,Dahili,Intel Iris Graphics,1.0,4.4,16,512,10,1.3,Yok,Windows
"IdeaPad Slim3 Intel Core i5-12450H 8 512 SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar 83ER00FXTR",https://www.trendyol.com/lenovo/ideapad-slim3-intel-core-i5-12450h-8-512-ssd-15-6-fhd-freedos-dizustu-bilgisayar-83er00fxtr-p-860978211?boutiqueId=681310&merchantId=968,12450H,14999,860978211,LENOVO,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),,,Dahili,Dahili Ekran Kartı,1.0,4.4,8,512,8,2,Yok,Free Dos (İşletim Sistemi Yok)
"13"" MacBook Air: Apple M4 chip with 10-core CPU and 8-core GPU. 16. 256 SSD - Gece Yarısı",https://www.trendyol.com/apple/13-macbook-air-apple-m4-chip-with-10-core-cpu-and-8-core-gpu-16-256-ssd-gece-yarisi-p-904728371?boutiqueId=61&merchantId=169540,Apple M4,39599,904728371,Apple,Ofis - İş,13.6 inç,2560 x 1664,Ultra HD 4K (UHD),,60,Dahili,Dahili Ekran Kartı,1.0,,16,256,10,,,Mac Os
"Aspire Lite AL15-32P Intel Celeron-N4500 4 128 SSD 15.6"" FHD Windows 11 Home Dizüstü Bilgisayar",https://www.trendyol.com/acer/aspire-lite-al15-32p-intel-celeron-n4500-4-128-ssd-15-6-fhd-windows-11-home-dizustu-bilgisayar-p-921524970?boutiqueId=681310&merchantId=968,N4000,8299,921524970,ACER,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,60,Dahili,Intel HD Graphics,1.0,,4,128,8,,,Windows
"Nitro V 15 I9-13900h 32 1 Ssd Rtx 4060-8 15.6"" Fhd Ips 165 Freedos Nh.qqeey.007 321",https://www.trendyol.com/acer/nitro-v-15-i9-13900h-32--1--ssd-rtx-4060-8--15-6-fhd-ips-165--freedos-nh-qqeey-007-321-p-921571348?boutiqueId=61&merchantId=107007,13900H,50800,921571348,ACER,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,165,Harici,Nvidia GeForce RTX 4060,8.0,4.6,32,1,14,4,,Free Dos (İşletim Sistemi Yok)
"LOQ AMD Ryzen 5-7235HS 24 512 SSD RTX3050 6 DOS 15.6"" FHD 95W 144 Gaming Laptop 83JC00DXTR",https://www.trendyol.com/lenovo/loq-amd-ryzen-5-7235hs-24-512-ssd-rtx3050-6-dos-15-6-fhd-95w-144-gaming-laptop-83jc00dxtr-p-892391467?boutiqueId=61&merchantId=169540,7235HS,26199,892391467,LENOVO,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 3050,6.0,4.2,24,512,4,,,Free Dos (İşletim Sistemi Yok)
Excalibur G870.1270-DFA0X-B i7-12700H 32 RAM 1 NVMe SSD Gen4 6 RTX4050 Dos Gaming Laptop,https://www.trendyol.com/casper/excalibur-g870-1270-dfa0x-b-i7-12700h-32-ram-1-nvme-ssd-gen4-6-rtx4050-dos-gaming-laptop-p-672157475?boutiqueId=61&merchantId=149208,12700H,36799,672157475,CASPER,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 4050,6.0,4.9,32,1,10,2.4,,Free Dos (İşletim Sistemi Yok)
"Swift GO SFG14-72-77SK Intel Core Ultra 7-155H 16 512 SSD EVO 14"" 2.8K OLED W11 Notebook",https://www.trendyol.com/acer/swift-go-sfg14-72-77sk-intel-core-ultra-7-155h-16-512-ssd-evo-14-2-8k-oled-w11-notebook-p-869946957?boutiqueId=681310&merchantId=968,155H,32999,869946957,ACER,Ofis - İş,14 inç,1920 x 1080,OLED 2.8K,OLED,,Dahili,Intel Arc Graphics,1.0,,16,512,,,Yok,Windows
"TUF Gaming A15 FA507NUR-LP159 AMD R7 7435HS 16 512 SSD RTX 4050 (140W) 15.6"" 144 IPS FHD Fdos",https://www.trendyol.com/asus/tuf-gaming-a15-fa507nur-lp159-amd-r7-7435hs-16-512-ssd-rtx-4050-140w-15-6-144-ips-fhd-fdos-p-890467326?boutiqueId=61&merchantId=1095219,7435HS,34170,890467326,ASUS,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 4050,6.0,4.5,16,512,8,3.1,,Free Dos (İşletim Sistemi Yok)
"Nirvana C370.4020-4C00B Intel Celeron N4020 4 RAM 120 SSD Windows 11 Home 15.6"" Hd Laptop",https://www.trendyol.com/casper/nirvana-c370-4020-4c00b-intel-celeron-n4020-4-ram-120-ssd-windows-11-home-15-6-hd-laptop-p-358003688?boutiqueId=61&merchantId=1126939,N4020,8999,358003688,CASPER,Ofis - İş,15.6 inç,1366 x 768,HD Ready (HD),TN,60,Dahili,Intel UHD Graphics 600,1.0,2.8,,,2,1.1,Yok,Windows
Vivobook 15 X1504VA-NJ1422 i5-1335U 8 512 SSD 15.6'' FreeDos,https://www.trendyol.com/asus/vivobook-15-x1504va-nj1422-i5-1335u-8-512-ssd-15-6-freedos-p-893572872?boutiqueId=61&merchantId=1069329,1335U,14849,893572872,ASUS,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,60,Dahili,Intel UHD Graphics,1.0,4.6,8,512,10,4,Yok,Free Dos (İşletim Sistemi Yok)
"Aspire Lite Intel Core i3-N300 8 512 SSD Freedos 14"" WUXGA IPS Dizüstü Bilgisayar NX.KS9EY.002",https://www.trendyol.com/acer/aspire-lite-intel-core-i3-n300-8-512-ssd-freedos-14-wuxga-ips-dizustu-bilgisayar-nx-ks9ey-002-p-931169589?boutiqueId=681310&merchantId=968,N300,10499,931169589,ACER,Ev - Okul,14 inç,1920 x 1200,WUXGA,IPS,60,Dahili,Intel UHD Graphics,1.0,,8,512,8,3,,Free Dos (İşletim Sistemi Yok)
"13"" MacBook Air: Apple M2 chip with 8-core CPU and 8-core GPU. 16. 256 - Yıldız Işığı",https://www.trendyol.com/apple/13-macbook-air-apple-m2-chip-with-8-core-cpu-and-8-core-gpu-16-256-yildiz-isigi-p-871069139?boutiqueId=61&merchantId=115705,,31800,871069139,Apple,Ofis - İş,13.6 inç,2560 x 1600,Ultra HD 4K (UHD),,120,Dahili,M2 8 Çekirdekli,8.0,,16,256,8,3.3,Yok,Mac Os
Ryzen 7-7435HS 32 DDR5 1 RTX4060 15.6 IPS 144 FHD Freedos 83JC00FJTR-321,https://www.trendyol.com/lenovo/ryzen-7-7435hs-32--ddr5-1--rtx4060-15-6-ips-144-fhd-freedos-83jc00fjtr-321-p-922702831?boutiqueId=61&merchantId=316311,7435HS,39019,922702831,LENOVO,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 4060,8.0,,32,1,8,,,Free Dos (İşletim Sistemi Yok)
Vivobook S 15 S5507QA-MA113W Snapdragon XPlusX1P42100 16 RAM 512 SSD 15.6inç OLED 0.2ms W11,https://www.trendyol.com/asus/vivobook-s-15-s5507qa-ma113w-snapdragon-xplusx1p42100-16-ram-512-ssd-15-6inc-oled-0-2ms-w11-p-892615271?boutiqueId=61&merchantId=118442,X1P 42 100,35999,892615271,ASUS,Ofis - İş,15 inç,2880 x 1620,OLED 2.8K,OLED,120,Dahili,Adreno GPU,,,16,512,8,4,Yok,Windows
"Ideapad Slim 3/ Intel N100/ 4 Ram/ 128 Ssd/ 15.6""/ W11/ Laptop 82xb009htx",https://www.trendyol.com/lenovo/ideapad-slim-3-intel-n100-4-ram-128-ssd-15-6-w11-laptop-82xb009htx-p-880830432?boutiqueId=61&merchantId=805934,,8195,880830432,LENOVO,Ev - Okul,15.6 inç,1920 x 1080,Full HD (FHD),TN,,Dahili,Intel UHD Graphics,1.0,3.2,4,128,,3.2,Yok,
"Aspire3 Intel Core i5-1235U 8 512 SSD 15.6"" Full HD IPS Windows11 Gümüş Laptop NX.K6TEY.002",https://www.trendyol.com/acer/aspire3-intel-core-i5-1235u-8-512-ssd-15-6-full-hd-ips-windows11-gumus-laptop-nx-k6tey-002-p-867246556?boutiqueId=681310&merchantId=968,1235U,12999,867246556,ACER,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,60,Dahili,Intel Iris Graphics,1.0,4.4,8,512,10,4,Yok,Windows
"MateBook D16 Intel Core i5-13420H 16 1 SSD 16"" Windows 11 Gri Dizüstü Bilgisayar",https://www.trendyol.com/huawei/matebook-d16-intel-core-i5-13420h-16-1-ssd-16-windows-11-gri-dizustu-bilgisayar-p-800344561?boutiqueId=61&merchantId=104683,13420H,26899,800344561,Huawei,Ofis - İş,16 inç,1920 x 1200,Full HD (FHD),IPS,60,Dahili,Intel HD Graphics 615,1.0,4.6,,,8,2.1,Yok,Windows
Vivobook S 14 S5406SA-QD205W Intel Ultra 7 258V 32 RAM 1 SSD 14.0 inç OLED Windows 11,https://www.trendyol.com/asus/vivobook-s-14-s5406sa-qd205w-intel-ultra-7-258v-32-ram-1-ssd-14-0-inc-oled-windows-11-p-892615218?boutiqueId=61&merchantId=118442,258V,47499,892615218,ASUS,Ofis - İş,14 inç,1920 x 1200,WUXGA,OLED,60,Harici,Intel Arc Graphics,1.0,,32,1,8,,Yok,Windows
"LOQ 15ARP9 Ryzen 5-7235HS 16 512 SSD 6 RTX3050 15.6"" Fdos Gaming Laptop 83JC000QTR",https://www.trendyol.com/lenovo/loq-15arp9-ryzen-5-7235hs-16-512-ssd-6--rtx3050-15-6-fdos-gaming-laptop-83jc000qtr-p-888654997?boutiqueId=61&merchantId=106934,7235HS,24999,888654997,LENOVO,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 3050,6.0,4.2,16,512,4,,,Free Dos (İşletim Sistemi Yok)
"14"" MacBook Pro: Apple M4 chip with 10‑core CPU and 10‑core GPU. 16. 512 SSD - Uzay Siyahı",https://www.trendyol.com/apple/14-macbook-pro-apple-m4-chip-with-10-core-cpu-and-10-core-gpu-16-512-ssd-uzay-siyahi-p-872448756?boutiqueId=61&merchantId=964379,,65399,872448756,Apple,Ofis - İş,14.2 inç,3024 x 1964,,,120,Dahili,Dahili Ekran Kartı,1.0,3.5,16,512,10,5.1,Yok,Mac Os
Ideapad Slim 3 14ırh10 Intel I5 13420h Ddr5 16 512 Freedos 14 Inç Aydınlatmalı Klavye 83k00027tr,https://www.trendyol.com/lenovo/ideapad-slim-3-14irh10-intel-i5-13420h-ddr5-16-512-freedos-14-inc-aydinlatmali-klavye-83k00027tr-p-922021626?boutiqueId=61&merchantId=118352,13420H,18999,922021626,LENOVO,Ofis - İş,14 inç,1920 x 1200,WUXGA,IPS,60,Dahili,Intel UHD Graphics,1.0,4.6,16,512,8,2.1,Yok,Free Dos (İşletim Sistemi Yok)
"Abra A7 V15.2.2 Intel Core i7 12700H 32 RAM 1 SSD 6 RTX 4050 FreeDOS 17.3"" FHD 144",https://www.trendyol.com/monster/abra-a7-v15-2-2-intel-core-i7-12700h-32--ram-1--ssd-6--rtx-4050-freedos-17-3-fhd-144--p-824631132?boutiqueId=61&merchantId=141868,12700H,44998,824631132,MONSTER,Oyun,17.3 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 4050,6.0,4.7,32,1,14,2.3,,Free Dos (İşletim Sistemi Yok)
"Vivobook 15 Intel Core i5-1235U 24 1 SSD W11 PRO 15.6"" FHD + Mouse",https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1235u-24-1-ssd-w11-pro-15-6-fhd-mouse-p-824111623?boutiqueId=61&merchantId=153128,1235U,18324.9,824111623,ASUS,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,60,Dahili,Intel Iris Graphics,1.0,4.4,24,1,10,1.3,Yok,Windows
Excalibur G770.1245-BVJ0X-B i5-12450H 16 RAM 500 NVMe SSD GEN4 4 RTX3050 Freedos Gaming Laptop,https://www.trendyol.com/casper/excalibur-g770-1245-bvj0x-b-i5-12450h-16-ram-500-nvme-ssd-gen4-4-rtx3050-freedos-gaming-laptop-p-311975657?boutiqueId=681310&merchantId=968,12450H,26999,311975657,CASPER,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 3050,4.0,4.4,16,500,8,2,,Free Dos (İşletim Sistemi Yok)
"IdeaPad 1 15ALC7 AMD Ryzen 5 5500U 16 512 sd 15.6"" Windows 11 Taşınabilir Bilgisayar",https://www.trendyol.com/lenovo/ideapad-1-15alc7-amd-ryzen-5-5500u-16-512-sd-15-6-windows-11-tasinabilir-bilgisayar-p-817478034?boutiqueId=61&merchantId=153128,5500U,14045.7,817478034,LENOVO,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),TN,60,Dahili,Dahili Ekran Kartı,1.0,4,16,512,8,2,Yok,Windows
"250 G10 Intel Core I5-1334u 16 512 Ssd 15.6""fhd Freedos Laptop B2nc5es",https://www.trendyol.com/hp/250-g10-intel-core-i5-1334u-16-512-ssd-15-6-fhd-freedos-laptop-b2nc5es-p-892682342?boutiqueId=61&merchantId=216294,1334u,15289,892682342,HP,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),SVA,,Dahili,Dahili Ekran Kartı,1.0,3.8,16,512,10,,Yok,Free Dos (İşletim Sistemi Yok)
"Victus AMD Ryzen 5-8645HS 16 512 RTX3050 6 Freedos 15.6"" FHD IPS 144 Gaming Laptop B9KM2EA",https://www.trendyol.com/hp/victus-amd-ryzen-5-8645hs-16-512-rtx3050-6-freedos-15-6-fhd-ips-144-gaming-laptop-b9km2ea-p-929697232?boutiqueId=61&merchantId=1103474,8645HS,25899,929697232,HP,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 3050,6.0,5,16,512,6,,,Free Dos (İşletim Sistemi Yok)
"13"" MacBook Air: Apple M2 chip with 8-core CPU and 8-core GPU. 16. 256 - Gece Yarısı",https://www.trendyol.com/apple/13-macbook-air-apple-m2-chip-with-8-core-cpu-and-8-core-gpu-16-256-gece-yarisi-p-871069136?boutiqueId=61&merchantId=925023,,31499,871069136,Apple,Ofis - İş,13.6 inç,2560 x 1600,Ultra HD 4K (UHD),IPS,120,Dahili,M2 8 Çekirdekli,8.0,2.5,16,256,8,3.3,Yok,Mac Os
"Abra A7 V15.3.4 Intel Core i5 13500H 16 RAM 1 SSD 6 RTX 3050 FreeDOS 17.3"" FHD 144",https://www.trendyol.com/monster/abra-a7-v15-3-4-intel-core-i5-13500h-16--ram-1--ssd-6--rtx-3050-freedos-17-3-fhd-144--p-894064414?boutiqueId=61&merchantId=141868,13500H,35709,894064414,MONSTER,Oyun,17.3 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 3050,6.0,4.7,16,1,14,2.6,,Free Dos (İşletim Sistemi Yok)
"13"" MacBook Air: Apple M4 chip with 10-core CPU and 8-core GPU. 16. 256 SSD - Gök Mavisi",https://www.trendyol.com/apple/13-macbook-air-apple-m4-chip-with-10-core-cpu-and-8-core-gpu-16-256-ssd-gok-mavisi-p-904728352?boutiqueId=61&merchantId=925023,Apple M4,38999,904728352,Apple,Ofis - İş,13.6 inç,2560 x 1664,Ultra HD 4K (UHD),IPS,60,Dahili,Dahili Ekran Kartı,1.0,3.3,16,256,10,2.5,Var,Mac Os
Aspire Lite Al14-31p-c452 Intel N100 8 256 Ssd 14'' Ips Wuxga Freedos Nx.ks8ey.001,https://www.trendyol.com/acer/aspire-lite-al14-31p-c452-intel-n100-8--256--ssd-14-ips-wuxga-freedos-nx-ks8ey-001-p-869947276?boutiqueId=61&merchantId=107007,Alder Lake-N N100,8910,869947276,ACER,Ev - Okul,14 inç,1920 x 1200,WUXGA,IPS,,Dahili,Intel UHD Graphics,1.0,4.4,8,256,4,4,Yok,Free Dos (İşletim Sistemi Yok)
"Matebook D16 Intel Core I5 12450h 8 512 Ssd Windows 11 Home 16"" Taşınabilir Bilgisayar",https://www.trendyol.com/huawei/matebook-d16-intel-core-i5-12450h-8-512-ssd-windows-11-home-16-tasinabilir-bilgisayar-p-799960375?boutiqueId=61&merchantId=1109500,,19949,799960375,Huawei,,,,,,,,,,,8,512,,2,Yok,
Aspire I5-12450h 16 512 Ssd Freedos 15.6'' Ips (1920X1080) Nx.kn4ey.002,https://www.trendyol.com/acer/aspire-i5-12450h-16-512-ssd-freedos-15-6-ips-1920x1080-nx-kn4ey-002-p-839207364?boutiqueId=61&merchantId=557390,12450H,15399,839207364,ACER,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,60,Dahili,Intel UHD Graphics,1.0,4.4,16,512,8,2,Yok,Free Dos (İşletim Sistemi Yok)
Katana 17 B13vgk-1040xtr I7-13620h 32 1 Ssd 8 Rtx4070 105w 17.3 Fhd 144 Freedos Notebook,https://www.trendyol.com/msi/katana-17-b13vgk-1040xtr-i7-13620h-32-1-ssd-8-rtx4070-105w-17-3-fhd-144-freedos-notebook-p-808460206?boutiqueId=61&merchantId=118442,13620H,64999,808460206,MSI,Oyun,17.3 inç,1920 x 1080,Full HD (FHD),TN,144,Harici,Nvidia GeForce RTX 4070,8.0,,32,1,10,2.6,,Free Dos (İşletim Sistemi Yok)
"Vivobook 15 Intel® Core™ i5-1235U  24 Ram 1 SSD   W11 Pro 15.6"" FHD Taşınabilir Bilgisayar",https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1235u-24-ram-1-ssd-w11-pro-15-6-fhd-tasinabilir-bilgisayar-p-856346804?boutiqueId=61&merchantId=121474,1235U,18699,856346804,ASUS,Ev - Okul,15.6 inç,1920 x 1080,Full HD (FHD),TN,60,Dahili,Intel Iris Graphics,1.0,4.4,24,1,10,1.3,Yok,Windows
250 G10 i5-1334U 8 RAM 256 SSD 15.6'' FHD W11H Uma Siyah Notebook B2Nc9Es,https://www.trendyol.com/hp/250-g10-i5-1334u-8-ram-256-ssd-15-6-fhd-w11h-uma-siyah-notebook-b2nc9es-p-828070532?boutiqueId=61&merchantId=124235,1334u,13999,828070532,HP,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),TN,60,Dahili,Intel XE Graphics,1.0,4.6,8,256,10,1,Yok,Windows
Nb V15 82yu0123tx Ryzen5-7520u 16 512ssd O/b 15.6 Dos,https://www.trendyol.com/lenovo/nb-v15-82yu0123tx-ryzen5-7520u-16-512ssd-o-b-15-6-dos-p-816046818?boutiqueId=61&merchantId=514546,7520U,14499,816046818,LENOVO,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),TN,,Dahili,Intel HD Graphics,1.0,3.2,16,512,4,,Yok,Free Dos (İşletim Sistemi Yok)
"Abra A5 V20.4.4 Intel Core i5 12450H 16 RAM 1 SSD 6 RTX 4050 FreeDos 15.6"" FHD 144",https://www.trendyol.com/monster/abra-a5-v20-4-4-intel-core-i5-12450h-16--ram-1--ssd-6--rtx-4050-freedos-15-6-fhd-144--p-760273029?boutiqueId=61&merchantId=141868,12450H,38749,760273029,MONSTER,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 4050,6.0,4.4,16,1,8,2,,Free Dos (İşletim Sistemi Yok)
LOQ 15ARP9 83JC00CRTR Ryzen 7 12 DDR5 1 SSD RTX4050 6 144 FHD FreeDos Gaming Laptop,https://www.trendyol.com/lenovo/loq-15arp9-83jc00crtr-ryzen-7-12-ddr5-1-ssd-rtx4050-6-144-fhd-freedos-gaming-laptop-p-877156817?boutiqueId=61&merchantId=105369,7435HS,32999,877156817,LENOVO,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 4050,6.0,4.5,12,1,8,3.1,,Free Dos (İşletim Sistemi Yok)
Victus 16-S0023NT 7Z4N1EA 8 RTX4060 Ryzen 5 7640HS 16 RAM 512 SSD 16.1 inç FHD 144,https://www.trendyol.com/hp/victus-16-s0023nt-7z4n1ea-8-rtx4060-ryzen-5-7640hs-16-ram-512-ssd-16-1-inc-fhd-144-p-739046709?boutiqueId=61&merchantId=118442,660.0,36499,739046709,HP,Oyun,16.1 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 4060,4.0,,16,512,6,2,,Free Dos (İşletim Sistemi Yok)
Excalibur i5 12450H 16 RAM 1 NVMe SSD GEN4 4 RTX2050 Dos Gaming Laptop G870.1245-BFG0X-B,https://www.trendyol.com/casper/excalibur-i5-12450h-16-ram-1-nvme-ssd-gen4-4-rtx2050-dos-gaming-laptop-g870-1245-bfg0x-b-p-746289823?boutiqueId=681310&merchantId=968,12450H,25899,746289823,CASPER,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 2050,4.0,4.4,16,1,8,2,,Free Dos (İşletim Sistemi Yok)
13-inch MacBook Air: Apple M3 chip with 8-core CPU and 8-core GPU. 8. 256 SSD - Midnight,https://www.trendyol.com/apple/13-inch-macbook-air-apple-m3-chip-with-8-core-cpu-and-8-core-gpu-8-256-ssd-midnight-p-814750695?boutiqueId=681310&merchantId=968,,37399,814750695,Apple,Ofis - İş,13.6 inç,2560 x 1664,QHD,,,Dahili,Dahili Ekran Kartı,1.0,,8,256,8,2,Yok,Mac Os
"Cyborg 15 A13vf-1204xtr I5-13420h 16 Ddr5 1 8 Rtx4060 Gddr6 15.6"" 144 Freedos Full Hd No",https://www.trendyol.com/msi/cyborg-15-a13vf-1204xtr-i5-13420h-16-ddr5-1-8-rtx4060-gddr6-15-6-144-freedos-full-hd-no-p-827736647?boutiqueId=61&merchantId=118442,13420H,36999,827736647,MSI,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 4060,8.0,2.1,16,1,8,2.1,,Free Dos (İşletim Sistemi Yok)
"Tuf A15 Fa507nur-lp035 Amd Ryzen7 7435hs 16 512 Ssd Rtx4050-140watt 144 Dos 15.6"" Fhd",https://www.trendyol.com/asus/tuf-a15-fa507nur-lp035-amd-ryzen7-7435hs-16-512-ssd-rtx4050-140watt-144-dos-15-6-fhd-p-834417872?boutiqueId=61&merchantId=106740,7435HS,34199,834417872,ASUS,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),IPS,144,Harici,Nvidia GeForce RTX 4050,6.0,4.5,16,512,8,3.1,,Free Dos (İşletim Sistemi Yok)
"Rog Strix G16 G614ju-n3196 Intel Core I7 13650hx 16 512 Ssd Rtx 4050 165 Freedos 16"" F",https://www.trendyol.com/asus/rog-strix-g16-g614ju-n3196-intel-core-i7-13650hx-16--512--ssd-rtx-4050-165--freedos-16-f-p-652422381?boutiqueId=61&merchantId=106740,13650HX,52699,652422381,ASUS,Oyun,16 inç,1920 x 1200,FHD+,IPS,165,Harici,Nvidia GeForce RTX 4050,6.0,4.9,16,512,14,3.6,,Free Dos (İşletim Sistemi Yok)
15 Dizüstü Bilgisayar. 15.6 inç FHD. Intel Core i3-1115G4. 8 Ram. 256 SSD. FreeDOS,https://www.trendyol.com/hp/15-dizustu-bilgisayar-15-6-inc-fhd-intel-core-i3-1115g4-8--ram-256--ssd-freedos-p-817236206?boutiqueId=61&merchantId=198438,1115G4,10999,817236206,HP,Ofis - İş,15.6 inç,1920 x 1080,Full HD (FHD),TN,,Dahili,,1.0,,8,256,2,2,Yok,Free Dos (İşletim Sistemi Yok)
Thın 15 B12uc-1478xtr I5-12450h 16 Rtx3050 Gddr6 4 512 Ssd 15.6 Fhd 144 Dos,https://www.trendyol.com/msi/thin-15-b12uc-1478xtr-i5-12450h-16-rtx3050-gddr6-4-512-ssd-15-6-fhd-144-dos-p-820152712?boutiqueId=61&merchantId=514600,12450H,28115,820152712,MSI,Oyun,15.6 inç,1920 x 1080,Full HD (FHD),LED,144,Harici,Nvidia GeForce RTX 3050,4.0,,16,512,8,,,Free Dos (İşletim Sistemi Yok)
"Katana 17 B12vfk-1031xtr I5-12450h 16 Ddr5 512 Ssd 8 Rtx4060 Gddr6 17.3"" Fhd 144 Freedos",https://www.trendyol.com/msi/katana-17-b12vfk-1031xtr-i5-12450h-16-ddr5-512-ssd-8-rtx4060-gddr6-17-3-fhd-144-freedos-p-789686494?boutiqueId=61&merchantId=141868,12450H,42379,789686494,MSI,Oyun,17.3 inç,1920 x 1080,Full HD (FHD),,144,Harici,Nvidia GeForce RTX 4060,8.0,4.4,16,512,8,3.3,,Free Dos (İşletim Sistemi Yok)
"Ideapad AMD Ryzen 7 5700U 16 512 SSD Freedos 15.6"" 82R4006FTRA38",https://www.trendyol.com/lenovo/ideapad-amd-ryzen-7-5700u-16-512-ssd-freedos-15-6-82r4006ftra38-p-752653765?boutiqueId=61&merchantId=109239,5700U,16349,752653765,LENOVO,Ev - Okul,15.6 inç,1920 x 1080,Full HD (FHD),TN,60,Dahili,AMD Radeon Graphics,1.0,4.3,16,512,8,1.8,Yok,Free Dos (İşletim Sistemi Yok)
